"input","LION name","LION ID","match"
"[#0289] PE P-34:1 or PE O-34:2 ","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]","LION:0000040","smart matching"
"[#0290] PE P-36:1 or PE O-36:2","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]","LION:0000040","smart matching"
"[#0291] PE P-36:4 or PE O-36:5 ","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]","LION:0000040","smart matching"
"[#0292] PE P-36:5 or PE O-36:6 ","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]","LION:0000040","smart matching"
"[#0293] PE P-38:4 or PE O-38:5 Isomer A","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]","LION:0000040","smart matching"
"[#0294] PE P-38:4 or PE O-38:5 Isomer B","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]","LION:0000040","smart matching"
"[#0295] PE P-38:5 or PE O-38:6 ","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]","LION:0000040","smart matching"
"[#0296] PE P-40:5 or PE O-40:6 ","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]","LION:0000040","smart matching"
"[#0297] PE-O 18:1_22:6 ","C18:1","LION:0002922","smart matching"
"[#0297] PE-O 18:1_22:6 ","C22:6","LION:0002937","smart matching"
"[#0298] PEtOH 16:0_16:1 ","C16:0","LION:0002882","smart matching"
"[#0298] PEtOH 16:0_16:1 ","C16:1","LION:0002900","smart matching"
"[#0299] PEtOH 16:0_18:1 ","C16:0","LION:0002882","smart matching"
"[#0299] PEtOH 16:0_18:1 ","C18:1","LION:0002922","smart matching"
"[#0300] PEtOH 16:0_20:4 ","C16:0","LION:0002882","smart matching"
"[#0300] PEtOH 16:0_20:4 ","C20:4","LION:0002929","smart matching"
"[#0301] PEtOH 16:1_16:1 ","C16:1","LION:0002900","smart matching"
"[#0302] PEtOH 16:1_18:1 ","C16:1","LION:0002900","smart matching"
"[#0302] PEtOH 16:1_18:1 ","C18:1","LION:0002922","smart matching"
"[#0303] PEtOH 18:1_18:1 ","C18:1","LION:0002922","smart matching"
"[#0304] PEtOH 18:1_20:4 ","C18:1","LION:0002922","smart matching"
"[#0304] PEtOH 18:1_20:4 ","C20:4","LION:0002929","smart matching"
"[#0305] PG 36:2 ","PG(36:2)","LION:0000266","direct"
"[#0306] PG 38:7 ","PG(38:7)","LION:0014737","direct"
"[#0307] PG 44:12 ","PG(44:12)","LION:0014813","direct"
"[#0308] PI 18:0_20:2 ","PI(18:0/20:2)","LION:0003474","direct"
"[#0309] PI 18:0_20:4 ","PI(18:0/20:4)","LION:0003458","direct"
"[#0310] PI 18:1_22:4 ","PI(18:1/22:4)","LION:0004185","direct"
"[#0311] PI 18:1_22:6 ","PI(18:1/22:6)","LION:0004176","direct"
"[#0312] PI 34:1 Isomer A ","diacylglycerophosphoinositols [GP0601]","LION:0000047","smart matching"
"[#0313] PI 34:2 ","PI(34:2)","LION:0000518","direct"
"[#0314] PI 36:3 Isomer B ","diacylglycerophosphoinositols [GP0601]","LION:0000047","smart matching"
"[#0315] PI 36:5 ","PI(36:5)","LION:0000295","direct"
"[#0316] PI 38:4 ","PI(38:4)","LION:0000307","direct"
"[#0317] PI 38:5","PI(38:5)","LION:0000306","direct"
"[#0318] PI 38:5 ","PI(38:5)","LION:0000306","direct"
"[#0319] PMeOH 16:0_18:1 ","C16:0","LION:0002882","smart matching"
"[#0319] PMeOH 16:0_18:1 ","C18:1","LION:0002922","smart matching"
"[#0320] PMeOH 16:0_18:2 ","C16:0","LION:0002882","smart matching"
"[#0320] PMeOH 16:0_18:2 ","C18:2","LION:0002923","smart matching"
"[#0321] PMeOH 36:4 ","not found","not found",""
"[#0322] PS 16:0_22:4 ","PS(16:0/22:4)","LION:0003697","direct"
"[#0323] PS 18:0_22:6 ","PS(18:0/22:6)","LION:0003721","direct"
"[#0324] PS 34:1 ","PS(34:1)","LION:0000367","direct"
"[#0325] PS 36:1 ","PS(36:1)","LION:0000371","direct"
"[#0326] PS 36:2 ","PS(36:2)","LION:0000370","direct"
"[#0327] PS 38:5|PS 18:0_20:5","diacylglycerophosphoserines [GP0301]","LION:0000053","smart matching"
"[#0328] PS 40:5 ","PS(40:5)","LION:0000508","direct"
"[#0329] Phosphatidylethanolamine alkenyl 16:0-20:4 ","C16:0","LION:0002882","smart matching"
"[#0329] Phosphatidylethanolamine alkenyl 16:0-20:4 ","C20:4","LION:0002929","smart matching"
"[#0330] Phosphatidylethanolamine alkenyl 18:0-18:2 ","C18:0","LION:0002921","smart matching"
"[#0330] Phosphatidylethanolamine alkenyl 18:0-18:2 ","C18:2","LION:0002923","smart matching"
"[#0331] SM 29:2;2O/8:0 ","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0332] SM 35:1;2O ","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0333] SM 37:4;3O ","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0334] SM 41:3;3O ","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0335] SM d30:1 ","SM(30:1)","LION:0144082","direct"
"[#0336] SM d31:1 ","SM(31:1)","LION:0144083","direct"
"[#0337] SM d32:0 ","SM(32:0)","LION:0000391","direct"
"[#0338] SM d32:0 Isomer B ","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0339] SM d32:1 Isomer A","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0340] SM d32:1 Isomer B","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0341] SM d32:2 ","SM(32:2)","LION:0002113","direct"
"[#0342] SM d33:1 ","SM(33:1)","LION:0144053","direct"
"[#0343] SM d34:0 ","SM(34:0)","LION:0000396","direct"
"[#0344] SM d34:1 Isomer A","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0345] SM d34:1 Isomer B","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0346] SM d34:2 ","SM(34:2)","LION:0000394","direct"
"[#0347] SM d35:1 ","SM(35:1)","LION:0144055","direct"
"[#0348] SM d35:2 ","SM(35:2)","LION:0144056","direct"
"[#0349] SM d36:0 ","SM(36:0)","LION:0000401","direct"
"[#0350] SM d36:1 Isomer A","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0351] SM d36:1 Isomer B","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0352] SM d36:2 Isomer A","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0353] SM d36:4 ","SM(36:4)","LION:0002114","direct"
"[#0354] SM d37:1 ","SM(37:1)","LION:0144058","direct"
"[#0355] SM d38:1 ","SM(38:1)","LION:0000405","direct"
"[#0356] SM d38:2 Isomer A","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0357] SM d38:2 Isomer B","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0358] SM d39:2 ","SM(39:2)","LION:0144063","direct"
"[#0359] SM d40:2 Isomer B ","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0360] SM d41:2 Isomer A ","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0361] SM d42:2 Isomer B ","ceramide phosphocholines (sphingomyelins) [SP0301]","LION:0000084","smart matching"
"[#0362] TG 14:0_16:0_17:1 ","TG(47:1)","LION:0143668","smart matching"
"[#0362] TG 14:0_16:0_17:1 ","C14:0","LION:0000259","smart matching"
"[#0362] TG 14:0_16:0_17:1 ","C16:0","LION:0002882","smart matching"
"[#0362] TG 14:0_16:0_17:1 ","C17:1","LION:0022234","smart matching"
"[#0363] TG 16:0_18:1_20:0 ","TG(16:0/18:1/20:0)","LION:0005288","direct"
"[#0364] TG 16:2_18:2_18:3 ","TG(52:7)","LION:0000766","smart matching"
"[#0364] TG 16:2_18:2_18:3 ","C18:2","LION:0002923","smart matching"
"[#0364] TG 16:2_18:2_18:3 ","C18:3","LION:0002924","smart matching"
"[#0365] TG 18:0_18:1_22:0 ","TG(18:0/18:1/22:0)","LION:0005896","direct"
"[#0366] TG 19:2_19:2_19:2 ","TG(57:6)","LION:0143719","smart matching"
"[#0366] TG 19:2_19:2_19:2 ","C19:2","LION:0022245","smart matching"
"[#0367] TG 42:0 ","TG(42:0)","LION:0000727","direct"
"[#0368] TG 44:0 ","TG(44:0)","LION:0000732","direct"
"[#0369] TG 46:0 ","TG(46:0)","LION:0000736","direct"
"[#0370] TG 46:1 ","TG(46:1)","LION:0000737","direct"
"[#0371] TG 46:2 ","TG(46:2)","LION:0000738","direct"
"[#0372] TG 48:0 ","TG(48:0)","LION:0000742","direct"
"[#0373] TG 48:1 ","TG(48:1)","LION:0000743","direct"
"[#0374] TG 48:2 ","TG(48:2)","LION:0000744","direct"
"[#0375] TG 49:0 ","TG(49:0)","LION:0143673","direct"
"[#0376] TG 50:0 ","TG(50:0)","LION:0000750","direct"
"[#0377] TG 50:1 ","TG(50:1)","LION:0000751","direct"
"[#0378] TG 50:2","TG(50:2)","LION:0000752","direct"
"[#0379] TG 50:2 ","TG(50:2)","LION:0000752","direct"
"[#0380] TG 50:3 Isomer A ","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0381] TG 50:3|TG 16:0_16:1_18:2","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0382] TG 50:4 ","TG(50:4)","LION:0000754","direct"
"[#0383] TG 51:1 Isomer B ","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0384] TG 51:3 ","TG(51:3)","LION:0143686","direct"
"[#0385] TG 52:0 ","TG(52:0)","LION:0000759","direct"
"[#0386] TG 52:1","TG(52:1)","LION:0000760","direct"
"[#0387] TG 52:3 ","TG(52:3)","LION:0000762","direct"
"[#0388] TG 52:3|TG 16:0_18:1_18:2","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0389] TG 52:4 ","TG(52:4)","LION:0000763","direct"
"[#0390] TG 52:5 ","TG(52:5)","LION:0000764","direct"
"[#0391] TG 52:6 ","TG(52:6)","LION:0000765","direct"
"[#0392] TG 53:1 ","TG(53:1)","LION:0143694","direct"
"[#0393] TG 53:4 ","TG(53:4)","LION:0143697","direct"
"[#0394] TG 53:6 ","TG(53:6)","LION:0143699","direct"
"[#0395] TG 54:0 ","TG(54:0)","LION:0000769","direct"
"[#0396] TG 54:1 ","TG(54:1)","LION:0000770","direct"
"[#0397] TG 54:2 ","TG(54:2)","LION:0000773","direct"
"[#0398] TG 54:3|TG 18:0_18:1_18:2","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0399] TG 54:4 ","TG(54:4)","LION:0000775","direct"
"[#0400] TG 54:5 Isomer A ","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0401] TG 54:5|TG 18:1_18:2_18:2","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0402] TG 54:6 Isomer A ","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0403] TG 54:6 Isomer C ","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0404] TG 55:7 ","TG(55:7)","LION:0143709","direct"
"[#0405] TG 56:1 ","TG(56:1)","LION:0000782","direct"
"[#0406] TG 56:2 Isomer A ","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0407] TG 56:2 Isomer B ","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0408] TG 56:3|TG 18:1_18:1_20:1","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0409] TG 56:5 Isomer A ","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0410] TG 56:6 ","TG(56:6)","LION:0000789","direct"
"[#0411] TG 56:7 Isomer B ","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0412] TG 58:2 ","TG(58:2)","LION:0000799","direct"
"[#0413] TG 58:3|TG 18:1_20:1_20:1","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0414] TG 58:4 ","TG(58:4)","LION:0000801","direct"
"[#0415] TG 64:1 ","TG(64:1)","LION:0000841","direct"
"[#0416] TG 8:0_10:0_18:1 ","triacylglycerols [GL0301]","LION:0000622","smart matching"
"[#0416] TG 8:0_10:0_18:1 ","C18:1","LION:0002922","smart matching"
"[#0417] Taurine","not found","not found",""
"[#0418] arachidonoylthiophosphorylcholine ","not found","not found",""
